Tweet ID,Tweet Date,Media Name,Media Origin,Teaser Text,Tag Value,cleaned_text
1302968016477589504,07-09-2020,El País,Uruguay,#SegundaDivisión  | La fortaleza del ataque: Rampla Juniors terminó con el invicto de Rocha,No,segundadivisión    la fortaleza del ataque rampla junior terminó con el invicto de rocha
1296805148950515713,21-08-2020,El País,Uruguay,"Jorge Lanata a los argentinos que se van a Uruguay: ""Irse es una manera de fracasar""",No,jorge lanata los argentinos que se van uruguay irse es una manera de fracasar
1303065732884967426,07-09-2020,El País,Uruguay,Raffo: “Los montevideanos deben estar alerta por errores más gruesos y costosos de Cosse”,No,"raffo "" los montevideanos deben estar alerta por errores más gruesos y costosos de cosse """
1302462441520074757,06-09-2020,El País,Uruguay,Ecos del universo: joven uruguayo desentraña (y explica) los secretos de las ondas gravitacionales,Clickbait,ecos del universo joven uruguayo desentraña y explica los secretos de las ondas gravitacionales
1301763104435589120,04-09-2020,El País,Uruguay,"Propuesta quinquenal de ANEP: aumento de 3,8% del presupuesto y metas de aprendizaje. Una de las innovaciones de la propuesta de la ANEP es que, por primera vez en la historia, el ente autónomo fija metas de aprendizaje.",No,propuesta quinquenal de anep aumento de   del presupuesto y metas de aprendizaje una de las innovaciones de la propuesta de la anep es que por primera vez en la historia el ente autónomo fija metas de aprendizaje
1300571357714018304,31-08-2020,El País,Uruguay,"Diego Forlán, tras su salida de Peñarol: ""No me quedan reproches, así es el fútbol""",No,diego forlán tras su salida de peñarol quedan reproche así es el fútbol
1300770685577555968,01-09-2020,El País,Uruguay,#Apertura2020  | Felipe Carballo y Armando Méndez se ganaron la titularidad en Nacional,No,apertura    felipe carballo y armando méndez se ganaron la titularidad en nacional
1276187700618551305,25-06-2020,El País,Uruguay,"Reseña: la nueva temporada de ""The Sinner"" es tendencia en Netflix a pura ansiedad",No,reseña la nueva temporada de sinner es tendencia en netflix pura ansiedad
1300163947308503042,30-08-2020,El País,Uruguay,"#Apertura2020  | Boston River salió del fondo, volvió a ganar y respira en el descenso tras vencer a Progreso",No,apertura    boston river salió del fondo volvió ganar y respira en el descenso tras vencer progreso
1297586498863235072,23-08-2020,El País,Uruguay,#Apertura2020  | Rentistas salvó diez meses en tres minutos frente a Peñarol,Clickbait,apertura    rentistas salvó diez mese en tre minuto frente peñarol
